,Id,Immobilisations incorporelles,Immobilisations corporelles,Actifs financiers non courants,Stocks et travaux en-cours,Créances clients et comptes rattachés,Trésorerie et équivalents de trésorerie,Total actif,Capitaux propres,Provisions pour risques et charges non courantes,Dettes financières non courantes,Dettes financières courantes,Fournisseurs et comptes rattaches,Total passif,Chiffre d'affaires,Produits des activités ordinaires,Résultat opérationnel,Coût de l'endettement financier net,Quote part resultats des Sociétés Mises en Equivalence,RN des activités abandonnées,Résultat net
1008,1009,1287.0,91160.0,72126.0,136617.0,224806.0,1912000.0,31255000.0,520122,514000.0,591129.0,237000.0,80539.0,31255000.0,84 736,125 627 311,35 600,67 000,0,0,-17 605
1009,1010,1141.0,241652.0,1052.0,145665.0,155582.0,2056000.0,32090000.0,431243,523000.0,90377.0,1268000.0,86225.0,32090000.0,0,0,0,0,0,0,0
1010,1011,891.0,200640.0,752.0,54547.0,174723.0,1982000.0,29920000.0,614800,558000.0,86586.0,393000.0,118055.0,29920000.0,2 563 464,68 418,1 014 000,129 122,1 000,0,768 822
1011,1012,98120.0,244571.0,3219.0,62237.0,183303.0,3463000.0,28987000.0,632116,741000.0,86409.0,1035000.0,114560.0,28987000.0,2 582 465,67 242,1 329 800,175 201,1 100,0,1 079 425
1012,1013,101183.0,283788.0,1530.0,55015.0,187723.0,4340.0,1421513.0,617092,5257000.0,74965.0,61498.0,104493.0,1421513.0,2 739 993,96 996,1 502 000,173 791,0,0,903 138
1013,1014,108094.0,305579.0,4210.0,0.0,44533.0,6698.0,1532546.0,616654,5133000.0,647700.0,60085.0,122318.0,1532546.0,2 805 162,92 900,724 200,0,0,0,989 409
1014,1015,0.0,1042385.0,4899.0,254800.0,74488.0,4875.0,2946449.0,121900,6003000.0,722240.0,126548.0,121349.0,2946449.0,0,0,0,0,0,0,0
1015,1016,34400.0,1161888.0,5374.0,264200.0,59290.0,7716.0,3393870.0,220600,5817000.0,794839.0,106632.0,117354.0,3393870.0,1 414 000,7 457,9 996 583,4 988,0,0,520 200
1016,1017,42200.0,1246079.0,30000.0,371600.0,0.0,4673000.0,9576000.0,336200,2593300.0,0.0,1555.0,54574.0,9576000.0,1 346 000,7 084,13 529 127,3 611,475,0,565 800
1017,1018,40400.0,1405000.0,848300.0,0.0,1438000.0,3585000.0,10111000.0,711000,2410700.0,9943300.0,2224.0,57625.0,10111000.0,1 390 700,13 733,14 154 696,2 434,102 433,0,609 200
1018,1019,613000.0,16430500.0,616100.0,3750000.0,1584200.0,3715000.0,10977000.0,40417,2521200.0,12418200.0,2637.0,76817.0,10977000.0,1 435 200,9 915,-4 986 338,0,10 754,0,-74 400
1019,1020,395000.0,18530300.0,477100.0,1440000.0,1734700.0,6423000.0,10711000.0,22382,2418300.0,12613300.0,0.0,0.0,10711000.0,0,0,0,0,0,0,0
1020,1021,416000.0,20586300.0,1135000.0,1533000.0,0.0,1656100.0,50600.0,-9859,10153000.0,0.0,640000.0,738300.0,50600.0,40 248 000,1 719 129,27 251,-541,0,0,11 238
1021,1022,470000.0,20077000.0,371000.0,1743000.0,1693000.0,1725600.0,22491.0,-5300,11571000.0,1595000.0,1157000.0,710100.0,22491.0,44 152 000,2 328 857,-2 681,-455,0,0,86 405
1022,1023,470000.0,749000.0,335000.0,24.0,1772000.0,1025700.0,17740.0,5556000,12542000.0,1164000.0,1360000.0,778600.0,17740.0,48 753 000,2 348 145,22 891,-190,0,0,13 549
1023,1024,0.0,854000.0,306000.0,0.0,1661000.0,1791400.0,0.0,5081000,13998000.0,286000.0,1598000.0,0.0,0.0,43 930 000,2 201 481,30 600,-143,0,0,0
1024,1025,0.0,953000.0,293000.0,0.0,1581000.0,12016000.0,153935.0,-245000,23119.0,1237000.0,2377000.0,5515000.0,153935.0,0,0,0,0,0,0,0
1025,1026,0.0,1371000.0,895164.0,0.0,0.0,9413000.0,151983.0,-2281000,25706.0,0.0,1820000.0,1346000.0,151983.0,861 882,1 459 874,-28 043,410 600,0,0,81 511
1026,1027,0.0,0.0,999201.0,0.0,0.0,9314000.0,146354.0,517683,26689.0,0.0,1817000.0,1751000.0,146354.0,868 932,1 731 894,7 368,413 800,0,0,82 482
1027,1028,0.0,0.0,1060055.0,0.0,0.0,14439000.0,0.0,653477,28972.0,0.0,2158000.0,1653000.0,0.0,938 342,1 845 522,-25 454,440 500,0,0,63 360
1028,1029,103100.0,0.0,1267100.0,0.0,0.0,158958.0,12076000.0,1238726,11449.0,0.0,2504600.0,2746.0,12076000.0,934 198,1 594 831,-23 993,414 400,0,0,0
1029,1030,119400.0,0.0,9300.0,0.0,0.0,430892.0,12975000.0,1478570,13690.0,0.0,2550900.0,2337.0,12975000.0,0,0,0,0,0,0,0
1030,1031,122100.0,0.0,10600.0,0.0,237100.0,271785.0,13904000.0,4474000,10346.0,2858300.0,2075400.0,440.0,13904000.0,12 518 000,18 484 000,166 578,925,14 200,0,543 100
1031,1032,121100.0,18500.0,10600.0,8500.0,573200.0,469231.0,10546000.0,5028000,30127.0,2593200.0,2398700.0,0.0,10546000.0,13 932 000,19 124 000,228 297,1 016,200,0,570 000
1032,1033,10970.0,20600.0,12600.0,8500.0,861700.0,114593.0,363119.0,5324000,45543.0,2745200.0,2212000.0,511400.0,363119.0,15 898 000,19 477 000,209 907,5 826,-6 100,0,442 400
1033,1034,9703.0,20900.0,50453.0,8300.0,1075900.0,108191.0,429273.0,5235000,41541.0,2536800.0,1463000.0,730800.0,429273.0,16 090 000,16 436 000,181 440,6 427,-11 300,0,56 200
1034,1035,8548.0,26100.0,45930.0,7900.0,647287.0,92700.0,515870.0,10735,48057.0,8063.0,1959000.0,1188500.0,515870.0,0,0,0,0,0,0,0
1035,1036,0.0,24631.0,58852.0,10000.0,760783.0,104943.0,566791.0,-14962,0.0,7246.0,3013000.0,1271700.0,566791.0,300 102,3 749 641,175 813,27 665,923,0,339 667
1036,1037,106.0,28267.0,0.0,41086.0,860623.0,92053.0,53761.0,-26829,115600.0,137239.0,14754.0,63662.0,53761.0,300 240,3 920 677,222 317,20 587,530,0,-42 143
1037,1038,175.0,31471.0,7512.0,26663.0,0.0,95297.0,70043.0,0,125600.0,0.0,109902.0,79045.0,70043.0,300 416,4 173 047,158 985,33 367,552,0,-1 457 265
1038,1039,238.0,0.0,11816.0,3400.0,4559.0,161383.0,61953.0,148867,140400.0,574762.0,71155.0,197680.0,61953.0,274 625,3 242 000,-59 496,36 870,800,0,-2 142 788
1039,1040,186.0,1254.0,3490.0,2500.0,3481.0,126000.0,0.0,146291,0.0,549314.0,104490.0,0.0,0.0,0,0,0,0,0,0,0
1040,1041,64600.0,4596.0,1815.0,2608000.0,5158.0,194600.0,14276000.0,139902,1140000.0,533495.0,37559.0,11359.0,14276000.0,338 732,105 291,1 402 000,22 100,119 900,0,314 000
1041,1042,67132.0,3918.0,878137.0,2331000.0,3873.0,158900.0,16067000.0,0,998000.0,267993.0,46954.0,22858.0,16067000.0,359 919,113 035,1 036 000,24 400,144 700,0,313 000
1042,1043,77578.0,3076.0,899664.0,2020000.0,226700.0,155500.0,16793000.0,5826000,879000.0,6500.0,46886.0,10523.0,16793000.0,391 530,126 196,732 000,30 000,142 000,0,400 000
1043,1044,76655.0,11662.0,832442.0,1216000.0,247264.0,195000.0,18570000.0,6443000,651000.0,37482.0,64658.0,11956.0,18570000.0,422 042,110 321,-857 000,34 900,44 300,0,324 000
1044,1045,0.0,12109.0,636102.0,1145000.0,265878.0,1563000.0,706312.0,6978000,24947.0,51876.0,59577.0,272479.0,706312.0,0,0,0,0,0,0,0
1045,1046,0.0,13794.0,118000.0,1136000.0,307289.0,1231000.0,623609.0,4158000,28667.0,98415.0,123458.0,283028.0,623609.0,8 329 100,133 731,-483 588,481 000,1 912 563,0,16 717
1046,1047,7289200.0,11338.0,109700.0,1014000.0,78000.0,3432000.0,610160.0,125235,25488.0,6612200.0,179020.0,312263.0,610160.0,8 389 200,137 548,-277 139,462 000,2 646 386,-105,23 240
1047,1048,7288900.0,7473600.0,99000.0,881000.0,84500.0,2175000.0,835447.0,127451,0.0,6278800.0,940000.0,0.0,835447.0,8 562 200,154 449,-16 945,551 000,2 977 819,0,31 841
1048,1049,7126300.0,169800.0,92600.0,,94200.0,1247.0,29963000.0,132817,508200.0,6025700.0,5186500.0,200500.0,29963000.0,7 459 200,184 906,-1 002 000,588 000,403 622,-1 519,36 680
1049,1050,1467.0,166700.0,2272.0,,125600.0,3866.0,29057000.0,140388,529378.0,6546200.0,4413100.0,0.0,29057000.0,0,0,0,0,0,0,0
1050,1051,2501.0,171900.0,2529.0,,26122.0,84869.0,30735000.0,36857,541511.0,10735.0,5917500.0,146400.0,30735000.0,1 593 900,25 124 600,-3 954,19 936,0,13 300,136 600
1051,1052,381.0,592.0,1814.0,,18336.0,0.0,30211000.0,45848,369322.0,10750.0,17646000.0,113200.0,30211000.0,1 720 200,25 911 100,6 261,-16 678,0,-50 700,128 500
1052,1053,0.0,373.0,0.0,,11532.0,1169100.0,41027300.0,28040,22700.0,11354.0,444000.0,15272.0,41027300.0,2 381 600,27 188 700,-811,15 702,-580,-111 900,155 200
1053,1054,2961000.0,275.0,6212000.0,,4000.0,678500.0,41980600.0,0,282800.0,0.0,543000.0,12688.0,41980600.0,2 747 800,26 009 900,-55 120,8 697,-300,-19 900,53 900
